,ticker,company_name,industry,full,url
104,ADOC,Edoc Acquisition,Shell Companies,ADOC - Edoc Acquisition,https://stockanalysis.com/stocks/ADOC/
105,ADP,Automatic Data Processing,Staffing & Employment Services,ADP - Automatic Data Processing,https://stockanalysis.com/stocks/ADP/
106,ADPT,Adaptive Biotechnologies,Biotechnology,ADPT - Adaptive Biotechnologies,https://stockanalysis.com/stocks/ADPT/
107,ADRA,Adara Acquisition,n/a,ADRA - Adara Acquisition,https://stockanalysis.com/stocks/ADRA/
108,ADS,Alliance Data Systems,Credit Services,ADS - Alliance Data Systems,https://stockanalysis.com/stocks/ADS/
109,ADSK,Autodesk,Software-Application,ADSK - Autodesk,https://stockanalysis.com/stocks/ADSK/
110,ADT,ADT Inc.,Security & Protection Services,ADT - ADT Inc.,https://stockanalysis.com/stocks/ADT/
111,ADTN,"ADTRAN, Inc.",Communication Equipment,"ADTN - ADTRAN, Inc.",https://stockanalysis.com/stocks/ADTN/
112,ADTX,Aditx Therapeutics,Biotechnology,ADTX - Aditx Therapeutics,https://stockanalysis.com/stocks/ADTX/
113,ADUS,Addus HomeCare,Medical Care Facilities,ADUS - Addus HomeCare,https://stockanalysis.com/stocks/ADUS/
114,ADV,Advantage Solutions,Advertising Agencies,ADV - Advantage Solutions,https://stockanalysis.com/stocks/ADV/
115,ADVM,Adverum Biotechnologies,Biotechnology,ADVM - Adverum Biotechnologies,https://stockanalysis.com/stocks/ADVM/
116,ADXN,Addex Therapeutics,Biotechnology,ADXN - Addex Therapeutics,https://stockanalysis.com/stocks/ADXN/
117,ADXS,Advaxis,Biotechnology,ADXS - Advaxis,https://stockanalysis.com/stocks/ADXS/
118,AE,Adams Resources & Energy,Oil & Gas Integrated,AE - Adams Resources & Energy,https://stockanalysis.com/stocks/AE/
119,AEAC,Authentic Equity Acquisition,Shell Companies,AEAC - Authentic Equity Acquisition,https://stockanalysis.com/stocks/AEAC/
120,AEE,Ameren,Utilities-Regulated Electric,AEE - Ameren,https://stockanalysis.com/stocks/AEE/
121,AEG,Aegon,Insurance-Diversified,AEG - Aegon,https://stockanalysis.com/stocks/AEG/
122,AEHL,Antelope Enterprise Holdings,Building Products & Equipment,AEHL - Antelope Enterprise Holdings,https://stockanalysis.com/stocks/AEHL/
123,AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,AEHR - Aehr Test Systems,https://stockanalysis.com/stocks/AEHR/
124,AEI,Alset Ehome International,Real Estate-Development,AEI - Alset Ehome International,https://stockanalysis.com/stocks/AEI/
125,AEIS,Advanced Energy Industries,Electrical Equipment & Parts,AEIS - Advanced Energy Industries,https://stockanalysis.com/stocks/AEIS/
126,AEL,American Equity Investment Life,Insurance-Life,AEL - American Equity Investment Life,https://stockanalysis.com/stocks/AEL/
127,AEM,Agnico Eagle Mines,Gold,AEM - Agnico Eagle Mines,https://stockanalysis.com/stocks/AEM/
128,AEMD,Aethlon Medical,Medical Devices,AEMD - Aethlon Medical,https://stockanalysis.com/stocks/AEMD/
129,AENZ,Aenza,Engineering & Construction,AENZ - Aenza,https://stockanalysis.com/stocks/AENZ/
130,AEO,American Eagle Outfitters,Apparel Retail,AEO - American Eagle Outfitters,https://stockanalysis.com/stocks/AEO/
131,AEP,American Electric Power,Utilities-Regulated Electric,AEP - American Electric Power,https://stockanalysis.com/stocks/AEP/
132,AER,AerCap Holdings,Airports & Air Services,AER - AerCap Holdings,https://stockanalysis.com/stocks/AER/
133,AERI,Aerie Pharmaceuticals,Drug Manufacturers-Specialty & Generic,AERI - Aerie Pharmaceuticals,https://stockanalysis.com/stocks/AERI/
134,AES,AES Corporation,Utilities-Diversified,AES - AES Corporation,https://stockanalysis.com/stocks/AES/
135,AESE,Allied Esports Entertainment,Entertainment,AESE - Allied Esports Entertainment,https://stockanalysis.com/stocks/AESE/
136,AEVA,Aeva Technologies,Auto Parts,AEVA - Aeva Technologies,https://stockanalysis.com/stocks/AEVA/
137,AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,AEY - ADDvantage Technologies Group,https://stockanalysis.com/stocks/AEY/
138,AEYE,AudioEye,Software-Application,AEYE - AudioEye,https://stockanalysis.com/stocks/AEYE/
139,AEZS,AEterna Zentaris,Biotechnology,AEZS - AEterna Zentaris,https://stockanalysis.com/stocks/AEZS/
140,AFAQ,AF Acquisition,Shell Companies,AFAQ - AF Acquisition,https://stockanalysis.com/stocks/AFAQ/
141,AFBI,Affinity Bancshares,Banks-Regional,AFBI - Affinity Bancshares,https://stockanalysis.com/stocks/AFBI/
142,AFCG,AFC Gamma,REIT-Specialty,AFCG - AFC Gamma,https://stockanalysis.com/stocks/AFCG/
143,AFG,American Financial Group,Insurance-Property & Casualty,AFG - American Financial Group,https://stockanalysis.com/stocks/AFG/
144,AFI,Armstrong Flooring,Building Products & Equipment,AFI - Armstrong Flooring,https://stockanalysis.com/stocks/AFI/
145,AFIB,Acutus Medical,Medical Devices,AFIB - Acutus Medical,https://stockanalysis.com/stocks/AFIB/
146,AFIN,American Finance Trust,REIT-Diversified,AFIN - American Finance Trust,https://stockanalysis.com/stocks/AFIN/
147,AFL,Aflac,Insurance-Life,AFL - Aflac,https://stockanalysis.com/stocks/AFL/
148,AFMD,Affimed N.V.,Biotechnology,AFMD - Affimed N.V.,https://stockanalysis.com/stocks/AFMD/
149,AFRM,Affirm Holdings,Information Technology Services,AFRM - Affirm Holdings,https://stockanalysis.com/stocks/AFRM/
150,AFYA,Afya,Education & Training Services,AFYA - Afya,https://stockanalysis.com/stocks/AFYA/
151,AG,First Majestic Silver,Silver,AG - First Majestic Silver,https://stockanalysis.com/stocks/AG/
152,AGAC,African Gold Acquisition,Shell Companies,AGAC - African Gold Acquisition,https://stockanalysis.com/stocks/AGAC/
153,AGBA,AGBA Acquisition,Shell Companies,AGBA - AGBA Acquisition,https://stockanalysis.com/stocks/AGBA/
154,AGC,Altimeter Growth Corp.,Shell Companies,AGC - Altimeter Growth Corp.,https://stockanalysis.com/stocks/AGC/
155,AGCB,Altimeter Growth 2,Shell Companies,AGCB - Altimeter Growth 2,https://stockanalysis.com/stocks/AGCB/
156,AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,AGCO - AGCO Corporation,https://stockanalysis.com/stocks/AGCO/
157,AGE,AgeX Therapeutics,Biotechnology,AGE - AgeX Therapeutics,https://stockanalysis.com/stocks/AGE/
158,AGEN,Agenus,Biotechnology,AGEN - Agenus,https://stockanalysis.com/stocks/AGEN/
159,AGFS,AgroFresh Solutions,Farm Products,AGFS - AgroFresh Solutions,https://stockanalysis.com/stocks/AGFS/
160,AGFY,Agrify,Specialty Business Services,AGFY - Agrify,https://stockanalysis.com/stocks/AGFY/
161,AGGR,Agile Growth,Shell Companies,AGGR - Agile Growth,https://stockanalysis.com/stocks/AGGR/
162,AGI,Alamos Gold,Gold,AGI - Alamos Gold,https://stockanalysis.com/stocks/AGI/
163,AGIL,AgileThought,Software-Application,AGIL - AgileThought,https://stockanalysis.com/stocks/AGIL/
164,AGIO,Agios Pharmaceuticals,Biotechnology,AGIO - Agios Pharmaceuticals,https://stockanalysis.com/stocks/AGIO/
165,AGL,Agilon Health,Medical Care Facilities,AGL - Agilon Health,https://stockanalysis.com/stocks/AGL/
166,AGLE,Aeglea Biotherapeutics,Biotechnology,AGLE - Aeglea Biotherapeutics,https://stockanalysis.com/stocks/AGLE/
167,AGM,Federal Agricultural Mortgage,Credit Services,AGM - Federal Agricultural Mortgage,https://stockanalysis.com/stocks/AGM/
168,AGM.A,Federal Agricultural Mortgage,Credit Services,AGM.A - Federal Agricultural Mortgage,https://stockanalysis.com/stocks/AGM.A/
169,AGMH,AGM Group Holdings,Software-Application,AGMH - AGM Group Holdings,https://stockanalysis.com/stocks/AGMH/
170,AGNC,AGNC Investment,REIT-Mortgage,AGNC - AGNC Investment,https://stockanalysis.com/stocks/AGNC/
171,AGO,Assured Guaranty,Insurance-Specialty,AGO - Assured Guaranty,https://stockanalysis.com/stocks/AGO/
172,AGR,Avangrid,Utilities-Regulated Electric,AGR - Avangrid,https://stockanalysis.com/stocks/AGR/
173,AGRI,AgriFORCE Growing Systems,Farm Products,AGRI - AgriFORCE Growing Systems,https://stockanalysis.com/stocks/AGRI/
174,AGRO,Adecoagro,Farm Products,AGRO - Adecoagro,https://stockanalysis.com/stocks/AGRO/
175,AGRX,Agile Therapeutics,Drug Manufacturers-Specialty & Generic,AGRX - Agile Therapeutics,https://stockanalysis.com/stocks/AGRX/
176,AGS,PlayAGS,Gambling,AGS - PlayAGS,https://stockanalysis.com/stocks/AGS/
177,AGTC,Applied Genetic Technologies,Biotechnology,AGTC - Applied Genetic Technologies,https://stockanalysis.com/stocks/AGTC/
178,AGTI,Agiliti,Health Information Services,AGTI - Agiliti,https://stockanalysis.com/stocks/AGTI/
179,AGX,Argan,Engineering & Construction,AGX - Argan,https://stockanalysis.com/stocks/AGX/
180,AGYS,Agilysys,Software-Application,AGYS - Agilysys,https://stockanalysis.com/stocks/AGYS/
181,AHCO,AdaptHealth,Medical Devices,AHCO - AdaptHealth,https://stockanalysis.com/stocks/AHCO/
182,AHH,Armada Hoffler Properties,REIT-Diversified,AHH - Armada Hoffler Properties,https://stockanalysis.com/stocks/AHH/
183,AHPI,Allied Healthcare Products,Medical Devices,AHPI - Allied Healthcare Products,https://stockanalysis.com/stocks/AHPI/
184,AHT,Ashford Hospitality Trust,REIT-Hotel & Motel,AHT - Ashford Hospitality Trust,https://stockanalysis.com/stocks/AHT/
185,AI,C3.ai,Information Technology Services,AI - C3.ai,https://stockanalysis.com/stocks/AI/
186,AIG,American International Group,Insurance-Diversified,AIG - American International Group,https://stockanalysis.com/stocks/AIG/
187,AIH,Aesthetic Medical International,Medical Care Facilities,AIH - Aesthetic Medical International,https://stockanalysis.com/stocks/AIH/
188,AIHS,Senmiao Technology,Credit Services,AIHS - Senmiao Technology,https://stockanalysis.com/stocks/AIHS/
189,AIKI,AIkido Pharma,Biotechnology,AIKI - AIkido Pharma,https://stockanalysis.com/stocks/AIKI/
190,AIM,AIM ImmunoTech,Biotechnology,AIM - AIM ImmunoTech,https://stockanalysis.com/stocks/AIM/
191,AIMC,Altra Industrial Motion,Specialty Industrial Machinery,AIMC - Altra Industrial Motion,https://stockanalysis.com/stocks/AIMC/
192,AIN,Albany International,Textile Manufacturing,AIN - Albany International,https://stockanalysis.com/stocks/AIN/
193,AINC,Ashford,Asset Management,AINC - Ashford,https://stockanalysis.com/stocks/AINC/
194,AINV,Apollo Investment,Asset Management,AINV - Apollo Investment,https://stockanalysis.com/stocks/AINV/
195,AIR,AAR Corp.,Aerospace & Defense,AIR - AAR Corp.,https://stockanalysis.com/stocks/AIR/
196,AIRC,Apartment Income REIT,REIT-Residential,AIRC - Apartment Income REIT,https://stockanalysis.com/stocks/AIRC/
197,AIRG,Airgain,Communication Equipment,AIRG - Airgain,https://stockanalysis.com/stocks/AIRG/
198,AIRI,Air Industries Group,Aerospace & Defense,AIRI - Air Industries Group,https://stockanalysis.com/stocks/AIRI/
199,AIRT,Air T,Integrated Freight & Logistics,AIRT - Air T,https://stockanalysis.com/stocks/AIRT/
200,AIT,Applied Industrial Technologies,Industrial Distribution,AIT - Applied Industrial Technologies,https://stockanalysis.com/stocks/AIT/
201,AIV,Aimco,REIT-Residential,AIV - Aimco,https://stockanalysis.com/stocks/AIV/
202,AIZ,Assurant,Insurance-Specialty,AIZ - Assurant,https://stockanalysis.com/stocks/AIZ/
203,AJG,Arthur J. Gallagher,Insurance Brokers,AJG - Arthur J. Gallagher,https://stockanalysis.com/stocks/AJG/
204,AJRD,Aerojet Rocketdyne,Aerospace & Defense,AJRD - Aerojet Rocketdyne,https://stockanalysis.com/stocks/AJRD/
205,AJX,Great Ajax,REIT-Mortgage,AJX - Great Ajax,https://stockanalysis.com/stocks/AJX/
206,AKAM,Akamai Technologies,Software-Infrastructure,AKAM - Akamai Technologies,https://stockanalysis.com/stocks/AKAM/
207,AKBA,Akebia Therapeutics,Biotechnology,AKBA - Akebia Therapeutics,https://stockanalysis.com/stocks/AKBA/
208,AKIC,Sports Ventures Acquisition,Shell Companies,AKIC - Sports Ventures Acquisition,https://stockanalysis.com/stocks/AKIC/
209,AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,AKO.A - Embotelladora Andina,https://stockanalysis.com/stocks/AKO.A/
210,AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,AKO.B - Embotelladora Andina,https://stockanalysis.com/stocks/AKO.B/
211,AKR,Acadia Realty Trust,REIT-Retail,AKR - Acadia Realty Trust,https://stockanalysis.com/stocks/AKR/
212,AKRO,Akero Therapeutics,Biotechnology,AKRO - Akero Therapeutics,https://stockanalysis.com/stocks/AKRO/
213,AKTS,Akoustis Technologies,Communication Equipment,AKTS - Akoustis Technologies,https://stockanalysis.com/stocks/AKTS/
214,AKTX,Akari Therapeutics,Biotechnology,AKTX - Akari Therapeutics,https://stockanalysis.com/stocks/AKTX/
215,AKU,Akumin,Diagnostics & Research,AKU - Akumin,https://stockanalysis.com/stocks/AKU/
216,AKUS,Akouos,Biotechnology,AKUS - Akouos,https://stockanalysis.com/stocks/AKUS/
217,AKYA,Akoya Biosciences,Medical Instruments & Supplies,AKYA - Akoya Biosciences,https://stockanalysis.com/stocks/AKYA/
218,AL,Air Lease Corporation,Rental & Leasing Services,AL - Air Lease Corporation,https://stockanalysis.com/stocks/AL/
219,ALAC,Alberton Acquisition,Shell Companies,ALAC - Alberton Acquisition,https://stockanalysis.com/stocks/ALAC/
220,ALB,Albemarle,Specialty Chemicals,ALB - Albemarle,https://stockanalysis.com/stocks/ALB/
221,ALBO,Albireo Pharma,Biotechnology,ALBO - Albireo Pharma,https://stockanalysis.com/stocks/ALBO/
222,ALC,Alcon,Medical Instruments & Supplies,ALC - Alcon,https://stockanalysis.com/stocks/ALC/
223,ALCC,AltC Acquisition,Shell Companies,ALCC - AltC Acquisition,https://stockanalysis.com/stocks/ALCC/
224,ALCO,"Alico, Inc.",Farm Products,"ALCO - Alico, Inc.",https://stockanalysis.com/stocks/ALCO/
225,ALDX,Aldeyra Therapeutics,Biotechnology,ALDX - Aldeyra Therapeutics,https://stockanalysis.com/stocks/ALDX/
226,ALE,"ALLETE, Inc.",Utilities-Diversified,"ALE - ALLETE, Inc.",https://stockanalysis.com/stocks/ALE/
227,ALEC,Alector,Biotechnology,ALEC - Alector,https://stockanalysis.com/stocks/ALEC/
228,ALEX,Alexander & Baldwin,REIT-Diversified,ALEX - Alexander & Baldwin,https://stockanalysis.com/stocks/ALEX/
229,ALF,ALFI,Software-Infrastructure,ALF - ALFI,https://stockanalysis.com/stocks/ALF/
230,ALG,Alamo Group,Farm & Heavy Construction Machinery,ALG - Alamo Group,https://stockanalysis.com/stocks/ALG/
231,ALGM,Allegro MicroSystems,Semiconductors,ALGM - Allegro MicroSystems,https://stockanalysis.com/stocks/ALGM/
232,ALGN,Align Technology,Medical Devices,ALGN - Align Technology,https://stockanalysis.com/stocks/ALGN/
233,ALGS,Aligos Therapeutics,Biotechnology,ALGS - Aligos Therapeutics,https://stockanalysis.com/stocks/ALGS/
234,ALGT,Allegiant Travel,Airlines,ALGT - Allegiant Travel,https://stockanalysis.com/stocks/ALGT/
235,ALHC,Alignment Healthcare,Healthcare Plans,ALHC - Alignment Healthcare,https://stockanalysis.com/stocks/ALHC/
